Part,Positives,Negatives,Effects
Artifact_Part_Ability_PullOutMethod,,,"猛击会产生奇异效果，将敌人拉向你"
Artifact_Part_Ability_RearEnder,,,"强化猛击，猛击伤害+59%，猛击半径+28%，猛击反击+53%"
Artifact_Part_Ability_RoadWarrior,,,"滑铲释放圆锯，圆锯 3.0/s，圆锯伤害1"
Artifact_Part_Ability_RocketBoots,,,Slide发射制导火箭，造成燃烧伤害
Artifact_Part_Ability_Safegaurd,,,猛击触发护盾，减少+57%的伤害并持续5秒
Artifact_Part_Ability_Salvo,,,猛击发射自导火箭狂轰滥炸
Artifact_Part_Ability_SplatterGun,,,+滑动时50%霰弹枪伤害
Artifact_Part_Ability_StaticTouch,,,"滑铲会产生静电，使你的下一次近战攻击产生50%的额外冲击伤害，并将其链接到附近的敌人"
Artifact_Part_Ability_VictoryRush,,,"杀死一个狂徒触发胜利冲刺，+18%移动速度和伤害，持续60秒"
Artifact_Part_Ability_WhiteElephant,,,近战攻击有30%的几率攻击粘性炸弹
Artifact_Part_Stat_Relic,,,+10%战斗经验
Artifact_Part_Stats_Asbestos,,,+29%燃烧阻力
Artifact_Part_Stats_Brawler,,,+25%近战伤害
Artifact_Part_Stats_Breaching,,,+17%霰弹枪伤害
Artifact_Part_Stats_Contaminated,,,+16%辐射损伤
Artifact_Part_Stats_DeadEye,,,+16%手枪伤害
Artifact_Part_Stats_Durable,,,+29%耐腐蚀性
Artifact_Part_Stats_Frozen,,,+16%低温伤害
Artifact_Part_Stats_Greasy,,,+16%SMG伤害
Artifact_Part_Stats_Grenadier,,,+30%手榴弹伤害
Artifact_Part_Stats_Grounded,,,+29%抗震性
Artifact_Part_Stats_Hasty,,,+8%移动速度
Artifact_Part_Stats_HollowPoint,,,+16%突击步枪伤害
Artifact_Part_Stats_Hulking,,,+17%重伤
Artifact_Part_Stats_Insulated,,,+29%耐低温性
Artifact_Part_Stats_LeadCoated,,,+29%抗辐射性
Artifact_Part_Stats_Loaded,,,+40%弹匣尺寸
Artifact_Part_Stats_LongLasting,,,+21%动作技能冷却率
Artifact_Part_Stats_LongRange,,,+17%狙击手伤害
Artifact_Part_Stats_Lucky,,,+12.67运气
Artifact_Part_Stats_Lustrous,,,+23%元素抗性
Artifact_Part_Stats_Melty,,,+16%腐蚀性损坏
Artifact_Part_Stats_Precision,,,+26%的武器精度
Artifact_Part_Stats_Quickdraw,,,+14%武器重装速度
Artifact_Part_Stats_Ravaging,,,+33%飞溅伤害
Artifact_Part_Stats_Spicy,,,+16%燃烧伤害
Artifact_Part_Stats_Stalwart,,,+1666最大护盾
Artifact_Part_Stats_Unyielding,,,+40%殊死一搏倒地时间
Artifact_Part_Stats_Vigorous,,,+1487最大健康
Artifact_Part_Stats_Zappy,,,+16%冲击伤害
Artifact_Part_Stats_Accuracy,,,+26%准确度
Artifact_Part_Stats_ActionSkillCooldown,,,+21%动作技能冷却率
Artifact_Part_Stats_AreaDamage,,,+33%飞溅伤害
Artifact_Part_Stats_ATLAS,,,"+20%ATLAS武器射速，+83%ATLAS弹药库尺寸"
Artifact_Part_Stats_BleedoutDuration,,,+40%为你的寿命而战
Artifact_Part_Stats_BleedoutMoveSpeed,,,+37%为你的生命而战移动速度
Artifact_Part_Stats_CorrosiveDamage,,,+16%腐蚀性损坏
Artifact_Part_Stats_CorrosiveDoTChance,,,+26%腐蚀机会
Artifact_Part_Stats_CorrosiveResist,,,+29%耐腐蚀性
Artifact_Part_Stats_CryoDamage_3,,,+16%低温伤害
Artifact_Part_Stats_CryoEfficiency,,,+27%低温效率
Artifact_Part_Stats_CryoResist,,,+29%耐低温性
Artifact_Part_Stats_FireDamage_3,,,+16%火灾损失
Artifact_Part_Stats_FireDoTChance,,,+26%燃烧机会
Artifact_Part_Stats_FireResist,,,+29%燃烧阻力
Artifact_Part_Stats_HealthRegen,,,再生+149生命值/秒
Artifact_Part_Stats_Jakobs1,,,"+43%雅各布武器弹匣尺寸，+17%雅各布武器重装速度"
Artifact_Part_Stats_MagazineSize,,,+40%弹匣尺寸
Artifact_Part_Stats_MaxHealth,,,+1487最大健康
Artifact_Part_Stats_MaxShieldCapacity,,,+30%护盾充电率
Artifact_Part_Stats_MeleeDamage,,,+25%近战伤害
Artifact_Part_Stats_Movespeed,,,+8%移动速度
Artifact_Part_Stats_RadiationDamage,,,+16%辐射损伤
Artifact_Part_Stats_RadiationDoTChance,,,+27%的辐射几率
Artifact_Part_Stats_RadiationResist,,,+29%抗辐射性
Artifact_Part_Stats_ReloadSpeed,,,+14%武器重装速度
Artifact_Part_Stats_ShieldRechargeDelay,,,-30%护盾充电延迟
Artifact_Part_Stats_ShieldRechargeRate,,,+30%护盾充电率
Artifact_Part_Stats_ShockDamage,,,+16%冲击伤害
Artifact_Part_Stats_ShockDoTChance,,,+26%电击几率
Artifact_Part_Stats_ShockResist,,,+29%抗震性
Artifact_Part_Stats_Tediore,,,"+35%泰迪尔武器的精度，+138%泰迪尔武器的弹匣尺寸"
Artifact_Part_Stats_Vladof,,,"+10%的弗拉多夫武器射速，+67%的弗拉多夫武器弹匣尺寸"
Artifact_Part_Stats_XPMultiplier,,,+7%战斗经验
Part_Shield_Aug_ANS__LGD_Aurelia,,,"耗尽后，释放一颗巨大的超新星，造成11154点伤害并冻结敌人。新星30%的伤害作为生命值返回"
Part_Shield_Aug_BackHam,,,从后面受到的伤害减少56%
Part_Shield_Aug_ANS_LGD_Breakup,,,"伴随你的是一架小型无人机，它会向敌人开火，每次射击都会造成伤害。当你的盾牌断裂时，一架临时无人机会来帮助你."
Part_Shield_Aug_ANS_LGD_NovaBurner,,,"22307盾牌破损和填充时的燃烧伤害"
Part_Shield_Aug_ANS_LGD_ReRouter,,,"充满电后，下一枪消耗50%的护盾，造成120%的额外电击伤害，并将其作为生命值返回"
Part_Shield_ANS_Aug_LGD_RoughRider,,,减少23%的伤害，并给予+35%的生命上限
Part_Shield_Aug_ANS_LGD_SlideKick,,,滑入敌人内消耗掉所有护盾，并根据当前护盾强度造成高达5205的额外伤害
Part_Shield_Aug_ANS_LGD_WTF,,,25%几率在IED受损时掉落，造成3718点伤害
Part_Shield_Aug_ScreamOfTerror,,,14872新星对护盾的伤害
Part_Shield_Aug_HYP_LGD_FrontLoader,,,保留你最大生命值的60%，并将其作为护盾等级返还。
Part_Shield_Aug_HYP_LGD_ReCharger,,,损坏后立即开始充电。冷却时间：20秒
Part_Shield_Aug_HYP_LGD_Rectifier1,,,"耗尽时，电死附近的敌人，每秒造成279点电击伤害"
Part_Shield_Aug_HYP_LGD_StopGap,,,"护盾突破时，对受到的任何伤害免疫5秒。"
Shield_Part_Aug_HYP_LGD_Transformer,,,"将100%的冲击伤害转化为护盾。40%吸收子弹的几率，将其添加到你的弹药数量中。"
Part_Shield_Aug_Ward,,,+25%的武器伤害，同时护盾耗尽+护盾激活时每秒2%的最大生命值。当护盾耗尽时，这个效果加倍。
Part_Shield_Aug_PAN_LGD_BigBoomBlaster,,,"有60%的几率掉落一个可以恢复60%护盾、手榴弹和重型弹药的助推器"
Part_Shield_Aug_PAN_LGD_BlackHole,,,在护盾突破时向你吸引敌人
Part_Shield_Aug_PAN_Cyttorak,,,+盾牌耗尽时造成22%的武器伤害+25%最大生命值
Part_Shield_Aug_PAN_LGD_Impaler,,,在受到子弹伤害时向攻击者发射归位尖刺
Part_Shield_Aug_PAN_LGD_Radiate,,,每秒对附近的敌人造成辐射伤害，并给予辐射伤害豁免。
Part_Shield_Aug_PAN_LGD_Revengenader,,,当护盾耗尽时投掷一枚免费手榴弹。此效果冷却时间短
Part_Shield_Aug_PAN_LGD_ShootingStar,,,"当消耗殆尽时，成功的梅莱斯会召唤出一枚造成伤害的炮弹。"
Part_Shield_Aug_MoxxisEmbrace,,,当护盾耗尽时，在你自己和盟友身上进行治疗
Part_Shield_Aug_XPLootBooster,,,经验增益：+10%。抢夺稀有度提升。XP和掠夺效果可以在10级中发挥作用。
Part_Shield_Aug_HYP_BuriedAlive,,,+5%护盾满时每秒的最大生命值。
Part_Shield_Aug_HYP_LGD_Dispensary,,,"受到伤害时，有35%的几率掉落上或下药丸。这些药丸可以提供缓冲，但可能有一些不良副作用..."
Part_Shield_Aug_LoopOf4N631,,,耗尽时减少动作技能冷却时间
Part_Shield_Aug_GoldenTouch,,,"提供：Brimming、Fleet和Roid"
Part_Shield_Aug_MrCaffeine,,,"+50%的重装速度和15%的射速，同时盾牌是满的。耗尽时，射速和重新装填速度将受到严重惩罚."
Part_Shield_Aug_Absorb,,,+15%吸收子弹作为弹药的机会
Part_Shield_Aug_Adaptive,,,+8%生命值和对最后一种伤害类型的17%抗性持续3秒。
Part_Shield_Aug_Adrenaline,,,+23%盾牌耗尽时的重装速度
Part_Shield_Aug_Amp,,,"满枪时，射击消耗30%护盾，造成+20%武器伤害"
Part_Shield_Aug_Brimming,,,+5%护盾满时每秒最大生命值。
Part_Shield_Aug_Capacity,,,+25%最大容量
Part_Shield_Aug_Fleet,,,+10%盾牌耗尽时的移动速度
Part_Shield_Aug_FortifyCharge,,,"受到伤害时，有15%的几率掉落强化冲锋，该冲锋可减少10%的伤害"
Part_Shield_Aug_HealthCharge,,,"受到伤害时，有15%的几率掉落生命值，恢复15%的最大生命值"
Part_Shield_Aug_Healthy,,,+10/25/50%最大生命值
Part_Shield_Aug_Knockback,,,在护盾突破时进行区域击退
Part_Shield_Aug_Nova,,,在护盾断裂时，基于护盾阻力类型进行区域击退和伤害
Part_Shield_Aug_PowerCharge,,,"受到伤害时，有15%的几率掉落一个能使武器伤害增加10%的电荷"
Part_Shield_Aug_Projected,,,"蹲着向前投射你的护盾，获得+20%的伤害减免。"
Part_Shield_Aug_RechargeDelay,,,-25%充电延迟
Part_Shield_Aug_RechargeRate,,,+15%护盾恢复率
Part_Shield_Aug_Reflect,,,15%屏蔽时反射射弹的机会
Part_Shield_Aug_Roid,,,+80/180/300%盾牌耗尽时近战伤害
Part_Shield_Aug_ShieldCharge,,,"当受到伤害时，有15%的几率掉落一个可以恢复8%护盾的助推器。"
Part_Shield_Aug_Spike,,,如果近战受到保护，则返回1487点伤害
Part_Shield_Aug_TriggerHappy,,,+10%盾牌耗尽时的射速
Part_Shield_Aug_Turtle,,,"+40%护盾容量, -10%最大生命值"
Part_Shield_Aug_Vagabond,,,+10%护盾满时的移动速度。
Part_Shield_Mat_BackHam,,,皮肤
Part_Shield_Mat_PAN_LGD_BigBoomBlaster,,,皮肤
Part_Shield_Mat_PAN_LGD_BlackHole,,,皮肤
Part_Shield_Mat_HYP_LGD_FrontLoader,,,皮肤
Part_Shield_Mat_PAN_LGD_Impaler,,,皮肤
Part_Shield_Mat_ANS_LGD_NovaBurner,,,皮肤
Part_Shield_Mat_HYP_LGD_ReCharger,,,皮肤
Part_Shield_Mat_HYP_LGD_Rectifier1,,,皮肤
Part_Shield_Mat_PAN_LGD_Revengenader,,,皮肤
Part_Shield_Mat_ANS_LGD_SlideKick,,,皮肤
Part_Shield_Mat_HYP_LGD_StopGap,,,皮肤
Part_Shield_Mat_ANS_LGD_ReRouter,,,皮肤
Part_Shield_Mat_ANS_LGD_WTF,,,皮肤
Part_Shield_Mat_ANS_LGD_Aurelia,,,皮肤
Part_Shield_Mat_HYP_BuriedAlive,,,皮肤
Part_Shield_Mat_PAN_Cyttorak,,,皮肤
Part_Shield_Mat_HYP_LGD_Dispensary,,,皮肤
Part_Shield_Mat_GoldenTouch,,,皮肤
Part_Shield_Mat_ANS_LGD_Breakup,,,皮肤
Part_Shield_Mat_MoxxisEmbrace,,,皮肤
Part_Shield_Mat_PAN_LGD_Radiate,,,皮肤
Part_Shield_Mat_PAN_LGD_ShootingStar,,,皮肤
Part_Shield_Mat_PAN_LGD_Unpaler,,,皮肤
Part_Shield_Mat_Ward,,,皮肤
Part_Shield_Mat_XPLootBooster,,,皮肤
Part_Shield_Mat_ScreamOfTerror,,,皮肤
Part_Shield_Mat_ANS_LGD_VersionOmNom,,,皮肤
Part_Shield_Mat_ANS_LGD_SlideKick,,,皮肤
GM_Part_Behavior_01_Large,,,半径增加20/40/60%
GM_Part_Behavior_03_Bouncy,,,"手榴弹向前反弹3/5/7次，击中敌人时爆炸。之后继续弹跳."
GM_Part_Behavior_04_Sticky,,,抗冲击棒。如果直接卡在敌人身上，造成25/100/200%的额外伤害
GM_Part_Behavior_06_MIRV,,,产生3/6/9 MIRV手榴弹
GM_Part_Behavior_07_Lingering,,,点射是持续4/6/8秒还是2/4/6爆炸
GM_Part_Behavior_09_Singularity,,,把敌人拉向震中。奇异外汇是静态的。不堆叠。
GM_Part_Behavior_10_Transfusion,,,对敌方生命值造成30/60/100%的伤害。不适用于国防部。如果用户已满，则给予盟友。
GM_Part_Behavior_11_Force,,,击退敌人
GM_Part_Behavior_12_Mini_MIRV,,,MIRV手榴弹又产生3/4枚手榴弹。
GM_Part_Behavior_15_Spring,,,直接向上反弹1/2/4次，每次撞击都会爆炸。每次跳跃伤害增加10/15/20%。
GM_Part_Behavior_16_Money,,,敌人在受到伤害时会掉落少量/中等/大量现金。
GM_Part_Behavior_18_Generator,,,对敌方护盾造成30/60/100%的伤害
GM_Part_Behavior_19_Artillery,,,以360度喷射的方式发射子弹，造成15/30/50%的额外DoT，直到爆炸。
GM_Part_Behavior_20_Nuke,,,最多可额外消耗2/3/5枚手榴弹。每增加一枚手榴弹，伤害增加50%。
GM_Part_Behavior_21_Link,,,15/30/50%每多命中一个敌人，伤害就会增加。
GM_Part_Behavior_22_Divider,,,手榴弹在投掷后不久就分裂成1+1/2/3手榴弹。
GM_Part_Behavior_23_Roider,,,手榴弹伤害增加15/30/45%
GM_Part_Behavior_24_ElementalDamage,,,增加元素伤害15/30/45%
GM_Part_Behavior_25_Rain,,,在最初的爆炸后直接发射，并在其周围发射3/4/5枚手榴弹
GM_Part_Behavior_NONE,,,N/A（可用作填充槽以保持组件数量）
Part_GM_Aug_BirthdaySuprise,,,对造成100%的伤害varkids和spiderants.
Part_GM_Aug_ButtStallion,,,用彩虹爆炸投掷Butstallion
Part_GM_Aug_CashMoneyPreorder,,,敌人在受到伤害时会掉落大量神圣的现金
Part_GM_Aug_Chupa,,,粘在敌人身上，随着时间的推移对生命造成伤害。忽略防护罩
Part_GM_Aug_EMP,,,消耗敌人的护盾
Part_GM_Aug_Epicenter,,,爆炸两次，释放放射状射弹。
Part_GM_Aug_Fastball,,,像扔棒球一样扔手榴弹。碰撞时爆炸
Part_GM_Aug_FireStorm,,,雨把火球从天上降下来
Part_GM_Aug_HunterSeeker,,,分成2架慢速无人机，在爆炸前进行射击
Part_GM_Aug_JustDeserts,,,"扔蛋糕，小半径"
Part_GM_Aug_Kryll,,,三倍数量的手榴弹，每次爆炸最多3次
Part_GM_Aug_Nagate,,,生成一圈长弓手榴弹
Part_GM_Aug_ObviousTrap,,,放下一组6枚粘性手榴弹，当敌人靠近时引爆
Part_GM_Aug_PAN_MoxiesBosom,,,经过橡胶处理。同时投掷2枚手榴弹。每次反弹都会增加伤害
Part_GM_Aug_Piss,,,移除对盟友的地位影响。受到伤害的敌人受到+20%的伤害
Part_GM_Aug_Quasar,,,悬停并吸入敌人。持续的电弧
Part_GM_Aug_RedQueen,,,经过橡胶处理。分裂成两个激光连接手榴弹。
Part_GM_Aug_Seeker,,,归巢
Part_GM_Aug_Shroom,,,产生3个蘑菇，每个蘑菇都会爆炸产生腐蚀性
Part_GM_Aug_StormFront,,,分裂成4枚手榴弹，对附近的敌人造成持续的冲击
Part_GM_Aug_TranFusion,,,治疗所造成的生命值伤害的120%。治疗护盾造成30%的护盾伤害
Part_GM_Aug_WidowMaker,,,近距离手榴弹。产生自导火箭
Part_GM_Aug_WizardOfNOG,,,对NOG友好
GM_Part_Material_Atlas_01_Common,,,皮肤
GM_Part_Material_Atlas_02_Uncommon,,,皮肤
GM_Part_Material_Atlas_03_Rare,,,皮肤
GM_Part_Material_Atlas_04_VeryRare,,,皮肤
GM_Part_Material_Hyperion_01_Common,,,皮肤
GM_Part_Material_Hyperion_02_Uncommon,,,皮肤
GM_Part_Material_Hyperion_03_Rare,,,皮肤
GM_Part_Material_Hyperion_04_VeryRare,,,皮肤
GM_Part_Material_Pangolin_01_Common,,,皮肤
GM_Part_Material_Pangolin_02_Uncommon,,,皮肤
GM_Part_Material_Pangolin_03_Rare,,,皮肤
GM_Part_Material_Pangolin_04_VeryRare,,,皮肤
GM_Part_Material_Tediore_01_Common,,,皮肤
GM_Part_Material_Tediore_02_Uncommon,,,皮肤
GM_Part_Material_Tediore_03_Rare,,,皮肤
GM_Part_Material_Tediore_04_VeryRare,,,皮肤
GM_Part_Material_Torgue_01_Common,,,皮肤
GM_Part_Material_Torgue_02_Uncommon,,,皮肤
GM_Part_Material_Torgue_03_Rare,,,皮肤
GM_Part_Material_Torgue_04_VeryRare,,,皮肤
GM_Part_Material_Vladof_01_Common,,,皮肤
GM_Part_Material_Vladof_02_Uncommon,,,皮肤
GM_Part_Material_Vladof_03_Rare,,,皮肤
GM_Part_Material_Vladof_04_VeryRare,,,皮肤
Part_GM_Material_BirthdaySuprise,,,皮肤
Part_GM_Material_ButtStallion,,,皮肤
Part_GM_Material_CashMoneyPreorder,,,皮肤
Part_GM_Material_Chupa,,,皮肤
Part_GM_Material_EchoV2,,,皮肤
Part_GM_Material_EMP,,,皮肤
Part_GM_Material_Epicenter,,,皮肤
Part_GM_Material_Fastball,,,皮肤
Part_GM_Material_FireStorm,,,皮肤
Part_GM_Material_HipHop,,,皮肤
Part_GM_Material_HunterSeeker,,,皮肤
Part_GM_Material_JustDeserts,,,皮肤
Part_GM_Material_Kryll,,,皮肤
Part_GM_Material_Nagate,,,皮肤
Part_GM_Material_ObviousTrap,,,皮肤
Part_GM_Material_PAN_MoxiesBosom,,,皮肤
Part_GM_Material_Piss,,,皮肤
Part_GM_Material_Quasar,,,皮肤
Part_GM_Material_RedQueen,,,皮肤
Part_GM_Material_Seeker,,,皮肤
Part_GM_Material_Shroom,,,皮肤
Part_GM_Material_StormFront,,,皮肤
Part_GM_Material_Summit,,,皮肤
Part_GM_Material_Surge,,,皮肤
Part_GM_Material_ToiletBombs,,,皮肤
Part_GM_Material_ToyGrenade,,,皮肤
Part_GM_Material_TranFusion,,,皮肤
Part_GM_Material_WidowMaker,,,皮肤
Part_GM_Material_WizardOfNOG,,,皮肤
Part_GM_Material_FontOfDarkness,,,皮肤
GM_Part_Manufacturer_01_Torgue,,,Exploder
GM_Part_Manufacturer_02_Atlas,,,Homing
GM_Part_Manufacturer_03_Hyperion,,,Longbow
GM_Part_Manufacturer_04_Vladof,,,Impact
GM_Part_Manufacturer_06_Pangolin,,,Rubberized
GM_Part_Manufacturer_07_Tediore,,,Explode after impact
ClassMod_Part_Beastmaster_Unique_01_Friendbot,,,"Psycho Head on a Stick / All my BFFs / Barbaric Yawp When FL4K kills an enemy, their pet gains second wind"
ClassMod_Part_Beastmaster_Unique_02_CosmicStalker,,,Big Game / Interplanetary Stalker / Hunter's Eye FL4K's Hunt Skill Power is increased by 25%
ClassMod_Part_Beastmaster_Unique_03_BountyHunter,,,"Hunter's Eye / The Most Dangerous Game / Frenzy FL4K has a 3% chance to activate any purchased Hunt Kill Skill when dealing gun damage. Bosses are now treated as Humans, Beasts and Robotics for FL4K's Hunt Skills."
ClassMod_Part_Beastmaster_Unique_05_RakkCommander,,,He Bites! / Go for the Eyes! / Eager to Impress Rakk Attack gains 1 extra charge!
ClassMod_Part_Beastmaster_Unique_06_RedFang,,,"Eager to impress / Ferocity / He Bites! While Gamma Burst is active, FL4K's pet taunts all enemies."
ClassMod_Part_Beastmaster_Unique_07_BlueFang,,,Fade Away kills have a 33% chance to refund a Fade Away Charge and extend the duration of Fade Away by 3 seconds.
ClassMod_Part_Mod_Beastmaster_01_QuickCharge,,,Hunter's Eye / Two F4ng / Turn Tail and Run
ClassMod_Part_Mod_Beastmaster_02_Divergent,,,Eager To Impress / Hive Mind / Who Rescued Who?
ClassMod_Part_Mod_Beastmaster_03_Bushmaster,,,Ambush Predator / Leave No Trace / Turn Tail and Run
ClassMod_Part_Mod_Beastmaster_04_Whistleblower,,,Sic Em' / Eager To Impress / Psycho Head on a Stick
ClassMod_Part_Mod_Beastmaster_05_DARPAW,,,Ferocity / Who Rescued Who? / Self-Repairing System
ClassMod_Part_Mod_Beastmaster_06_Overdriven,,,Rage and Recover / The Fast and the Furryous / Who Rescued Who?
ClassMod_Part_Mod_Beastmaster_07_Thrillbotting,,,The Most Dangerous Game / Big Game / Hidden Machine
ClassMod_Part_Mod_Beastmaster_08_TurboCharged,,,Second Intention / Furious Attack / Overclocked
ClassMod_Part_Mod_Beastmaster_09_Headcase,,,Ambush Predator / Leave No Trace / The Fast and the Furryous
ClassMod_Part_Mod_Beastmaster_10_Botmaster,,,Ferocity / He Bites! / Go for the Eyes!
ClassMod_Part_Skill_BeastMaster_Bond11,,,"When FL4K's pet takes damage, the pet returns some of that damage to the attacker."
ClassMod_Part_Skill_BeastMaster_Bond2,,,"Kill Skill. Whenever FL4K kills an enemy, Action Skill Cooldown Time is reduces."
ClassMod_Part_Skill_BeastMaster_Bond3,,,"Whenever FL4K's Pet deals damage, FL4K regenerates health for a few seconds."
ClassMod_Part_Skill_BeastMaster_Bond4,,,"When FL4K's pet attacks an enemy, the first melee attack is an automatic Critical Hit that deals increased damage."
ClassMod_Part_Skill_BeastMaster_Bond7,,,FL4K's Pet deals increased damage.
ClassMod_Part_Skill_BeastMaster_DangerousGame,,,"Hunter Kill Skill. Whenever FL4K kills a Badass or stronger enemy, they gain increased Critical Hit Damage, Gun Damage, and Handling for a long time."
ClassMod_Part_Skill_BeastMaster_FastAndFurry,,,"Turn Tail and Run: While moving, FL4K constantly regenerates health and gains Damage Reduction. While Still, FL4K gains Gun Damage and Fire Rate."
ClassMod_Part_Skill_BeastMaster_Frenzy,,,"Frenzy: Hunter Skill. When FL4K's pet deals damage, FL4K and their pet gain a stack of Frenzy. Each stack of Frenzy increases Damage. The stacks decay after a few seconds."
ClassMod_Part_Skill_BeastMaster_FullTank,,,"Fast and the Furryous: While above half health, FL4K's Gun Damage and Movement Speed are increased."
ClassMod_Part_Skill_BeastMaster_GeneticLink,,,"When FL4K takes damage, a portion of all damage they take is shared to their pet instead."
ClassMod_Part_Skill_BeastMaster_GotThisForYou,,,"Hunter Kill Skill. Whenever FL4K kills an enemy, their Pet gains increased Movement Speed and Damage for a few seconds."
ClassMod_Part_Skill_BeastMaster_HeadCount,,,"Whenever FL4K scores a Critical hit, there is a chance their Action Skill Cooldown is reduced."
ClassMod_Part_Skill_BeastMaster_HR1,,,"Hunter Skill. After shooting an enemy, FL4K gains a stack of Furious Attack."
ClassMod_Part_Skill_BeastMaster_HR2,,,Attack Command has a lowered Cooldown and increased Damage.
ClassMod_Part_Skill_BeastMaster_HR3,,,"Kill Skill. After killing an enemy, FL4K and FL4K's pet regenerate health for a few seconds."
ClassMod_Part_Skill_BeastMaster_HR4,,,"FL4K's Maximum Health is increased, and they constantly regenerate health."
